iteration,userId,marker,writeOk,writeStatus,readStatus,syncObserved,syncLatencyMs,pollCount
0,r5-webpwa-0,910000,true,200,200,true,10.485,1
1,r5-webpwa-1,910001,true,200,200,true,18.249,1
2,r5-webpwa-2,910002,true,200,200,true,4.674,1
3,r5-webpwa-3,910003,true,200,200,true,9.471,1
4,r5-webpwa-4,910004,true,200,200,true,30.134,1
5,r5-webpwa-5,910005,true,200,200,true,26.461,1
6,r5-webpwa-6,910006,true,200,200,true,33.689,1
7,r5-webpwa-7,910007,true,200,200,true,19.202,1
8,r5-webpwa-8,910008,true,200,200,true,10.306,1
9,r5-webpwa-9,910009,true,200,200,true,7.204,1
10,r5-webpwa-10,910010,true,200,200,true,14.231,1
11,r5-webpwa-11,910011,true,200,200,true,17.99,1
